Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Name
Bachelors,2017,Bangalore,3,34,Male,No,0,0,Vivek Ghosh
Bachelors,2013,Pune,1,28,Female,No,3,1,Abhishek Saxena
Bachelors,2014,New Delhi,3,38,Female,No,2,0,Rahul Rao
Masters,2016,Bangalore,3,27,Male,No,5,1,Riya Rao
Masters,2017,Pune,3,24,Male,Yes,2,1,Kavya Das
Bachelors,2016,Bangalore,3,22,Male,No,0,0,Neha Desai
Bachelors,2015,New Delhi,3,38,Male,No,0,0,Rahul Nair
Bachelors,2016,Bangalore,3,34,Female,No,2,1,Rajesh Shetty
Bachelors,2016,Pune,3,23,Male,No,1,0,Gaurav Das
Masters,2017,New Delhi,2,37,Male,No,2,0,Vihaan Iyer
Masters,2012,Bangalore,3,27,Male,No,5,1,Karan Patel
Bachelors,2016,Pune,3,34,Male,No,3,0,Riya Mehta
Bachelors,2018,Pune,3,32,Male,Yes,5,1,Sai Singh
Bachelors,2016,Bangalore,3,39,Male,No,2,0,Gaurav Bhattacharya
Bachelors,2012,Bangalore,3,37,Male,No,4,0,Vihaan Mishra
Bachelors,2017,Bangalore,1,29,Male,No,3,0,Sanjana Thakur
Bachelors,2014,Bangalore,3,34,Female,No,2,0,Manoj Das
Bachelors,2014,Pune,3,34,Male,No,4,0,Ananya Chopra
Bachelors,2015,Pune,2,30,Female,No,0,1,Anjali Gupta
Bachelors,2016,New Delhi,2,22,Female,No,0,1,Vivaan Kumar
Bachelors,2012,Bangalore,3,37,Male,No,0,0,Krishna Ghosh
Masters,2017,New Delhi,2,28,Male,No,4,0,Rohan Kumar
Bachelors,2017,New Delhi,2,36,Male,No,3,0,Suresh Malhotra
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,Amit Chopra
Bachelors,2017,Bangalore,3,29,Male,No,4,0,Aarav Desai
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,Divya Thakur
Bachelors,2016,Bangalore,3,37,Male,No,2,0,Karan Verma
Bachelors,2015,Bangalore,3,23,Male,No,1,0,Shweta Banerjee
Bachelors,2013,Pune,2,31,Female,No,2,1,Priya Khan
Masters,2017,New Delhi,2,30,Female,No,2,0,Ananya Ghosh
PHD,2013,New Delhi,3,25,Male,No,3,0,Rohan Mishra
Bachelors,2014,Bangalore,3,23,Male,No,1,0,Raj Singh
Bachelors,2018,Bangalore,3,26,Male,No,4,1,Divya Gupta
Bachelors,2016,Bangalore,3,40,Male,No,5,0,Ritika Jain
Bachelors,2017,Pune,2,37,Female,No,0,1,Raj Desai
Bachelors,2014,Bangalore,1,30,Female,No,3,0,Sneha Rao
Bachelors,2012,New Delhi,3,29,Male,No,3,0,Pooja Gupta
Bachelors,2018,New Delhi,2,34,Female,No,0,1,Priya Ghosh
Bachelors,2017,Pune,2,29,Female,No,2,1,Abhishek Mishra
Bachelors,2014,Pune,3,30,Male,Yes,4,0,Anil Chopra
Bachelors,2015,Bangalore,3,36,Male,No,1,0,Karan Bhattacharya
Masters,2017,New Delhi,2,23,Male,No,1,0,Kavya Sharma
Bachelors,2013,Bangalore,3,30,Male,No,3,1,Anand Banerjee
Bachelors,2014,Bangalore,3,36,Male,No,0,0,Sanjana Verma
Bachelors,2015,Pune,3,39,Male,No,4,0,Amit Patel
Bachelors,2014,Bangalore,3,23,Female,No,1,0,Rajesh Chopra
PHD,2012,New Delhi,3,27,Male,No,5,0,Sai Agarwal
Masters,2013,New Delhi,3,35,Male,No,2,0,Vivaan Desai
Masters,2017,New Delhi,2,34,Male,No,0,0,Shiv Banerjee
Bachelors,2013,Bangalore,3,30,Female,No,1,0,Radhika Jain
PHD,2017,New Delhi,3,34,Male,No,2,0,Riya Ghosh
Bachelors,2015,Pune,2,26,Female,No,4,1,Arjun Saxena
Bachelors,2016,Bangalore,3,34,Female,No,0,0,Vikas Iyer
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,Shweta Thakur
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,Nikhil Khan
PHD,2013,New Delhi,3,28,Male,No,2,0,Vivaan Malhotra
Bachelors,2016,Bangalore,3,38,Male,No,2,0,Nidhi Shetty
Masters,2014,Pune,3,39,Female,No,2,0,Reyansh Banerjee
Bachelors,2013,Pune,3,32,Male,No,4,0,Sneha Sinha
Masters,2017,Pune,2,36,Male,No,2,1,Meera Jain
Masters,2013,New Delhi,3,29,Male,No,3,0,Sai Verma
Bachelors,2015,Bangalore,3,30,Male,No,5,0,Aishwarya Rao
PHD,2013,Bangalore,2,25,Male,No,3,1,Rajesh Agarwal
Bachelors,2014,Pune,1,22,Female,No,0,1,Tanvi Chatterjee
Bachelors,2016,Bangalore,3,34,Male,No,4,0,Divya Nair
Bachelors,2018,Bangalore,3,40,Male,No,1,1,Tanvi Pillai
PHD,2013,Bangalore,3,26,Male,No,4,0,Om Malhotra
Bachelors,2014,New Delhi,3,28,Male,No,0,0,Shiv Reddy
Bachelors,2015,Bangalore,3,24,Female,No,2,0,Ayaan Gupta
Masters,2017,Bangalore,3,40,Female,No,2,1,Sneha Bhattacharya
Bachelors,2018,Bangalore,3,23,Female,No,1,1,Aarav Pillai
Masters,2017,Bangalore,3,31,Male,No,4,0,Ayaan Shetty
Bachelors,2014,Pune,3,25,Female,No,3,0,Pallavi Gupta
Bachelors,2014,Bangalore,1,27,Male,No,5,0,Sunil Khan
Masters,2017,New Delhi,2,25,Female,No,3,1,Amit Iyer
Bachelors,2015,Bangalore,3,40,Male,No,0,1,Om Gupta
Bachelors,2014,Bangalore,1,23,Female,No,1,0,Swati Joshi
Bachelors,2017,Bangalore,3,23,Female,No,1,0,Manoj Bhattacharya
Bachelors,2012,Bangalore,3,39,Male,No,1,0,Vikas Bhattacharya
PHD,2015,New Delhi,1,37,Male,No,1,0,Manoj Thakur
Bachelors,2017,Pune,3,38,Male,No,2,0,Riya Desai
Bachelors,2013,Bangalore,3,31,Female,No,0,1,Vivaan Jain
Bachelors,2016,Bangalore,3,38,Male,No,5,0,Ayaan Sharma
Bachelors,2017,Bangalore,3,25,Female,No,3,0,Shiv Saxena
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,Sunil Gupta
Bachelors,2016,Pune,2,36,Male,No,0,1,Vivaan Yadav
Bachelors,2017,Pune,2,27,Female,No,5,1,Karan Sharma
Masters,2015,Pune,2,32,Female,No,4,0,Ananya Yadav
Bachelors,2014,Bangalore,3,28,Male,No,4,0,Radhika Mehta
Masters,2012,New Delhi,3,32,Male,No,2,0,Nikhil Sinha
Bachelors,2018,Bangalore,3,30,Male,No,0,1,Deepak Chatterjee
Bachelors,2015,New Delhi,3,22,Male,No,0,0,Sanjana Khan
Bachelors,2017,New Delhi,2,34,Female,No,5,0,Sai Mehta
Masters,2013,New Delhi,3,36,Male,No,2,0,Riya Gupta
Bachelors,2014,Bangalore,3,39,Male,No,3,1,Kavya Chatterjee
PHD,2018,Bangalore,3,26,Male,No,4,1,Aarav Rao
Bachelors,2016,Bangalore,3,31,Female,No,0,0,Gaurav Chatterjee
Bachelors,2014,Bangalore,3,27,Male,No,5,1,Neha Mehta
Bachelors,2014,Bangalore,3,29,Female,No,0,0,Priya Patel
Bachelors,2015,Bangalore,3,24,Female,No,2,1,Nikhil Saxena
Masters,2012,Pune,3,25,Male,No,3,1,Vivek Sinha
Bachelors,2013,Pune,3,25,Male,No,3,0,Siddharth Reddy
Masters,2017,New Delhi,3,26,Female,No,4,1,Gaurav Singh
Bachelors,2015,Pune,2,28,Female,Yes,1,1,Ishaan Patel
Bachelors,2017,New Delhi,3,28,Male,No,2,0,Anil Kumar
Masters,2015,Pune,1,28,Female,No,3,1,Deepak Sinha
Masters,2015,New Delhi,3,25,Male,No,3,0,Pallavi Khan
Bachelors,2017,Bangalore,3,28,Male,No,1,0,Vikas Yadav
Masters,2013,Pune,3,25,Male,No,3,0,Riya Khan
Bachelors,2015,Bangalore,2,25,Female,No,3,1,Anjali Malhotra
Bachelors,2015,Bangalore,3,27,Female,No,5,0,Riya Sinha
Bachelors,2017,Pune,2,27,Female,No,5,1,Rahul Pillai
Bachelors,2013,Bangalore,3,27,Male,No,5,1,Shweta Mehta
Bachelors,2012,Bangalore,3,25,Male,No,3,0,Anjali Joshi
Masters,2017,New Delhi,2,28,Male,No,2,0,Nidhi Verma
Bachelors,2014,Pune,1,26,Female,No,4,1,Vivaan Agarwal
Bachelors,2015,Bangalore,3,28,Male,No,2,0,Pallavi Yadav
Masters,2013,New Delhi,3,26,Male,No,4,0,Tanvi Verma
Bachelors,2017,Bangalore,3,26,Female,No,4,0,Om Kumar
Bachelors,2017,New Delhi,2,25,Male,No,3,0,Nikhil Desai
Bachelors,2012,Bangalore,1,28,Female,No,3,0,Manoj Verma
PHD,2015,New Delhi,3,26,Male,No,4,0,Sai Sharma
Bachelors,2015,New Delhi,3,25,Female,No,3,0,Vikas Mishra
Bachelors,2012,Bangalore,3,26,Male,No,4,1,Gaurav Ghosh
Bachelors,2014,Bangalore,3,28,Female,No,3,0,Shweta Ghosh
Masters,2014,Pune,3,24,Male,No,2,0,Divya Rao
Bachelors,2013,Bangalore,3,28,Male,No,1,0,Manoj Patel
Bachelors,2015,Pune,3,27,Male,No,5,0,Arjun Bhattacharya
Bachelors,2018,Bangalore,3,25,Male,No,3,1,Sai Malhotra
Masters,2013,Pune,1,24,Male,No,2,1,Arjun Thakur
Bachelors,2017,Bangalore,3,26,Female,No,4,0,Reyansh Mishra
Bachelors,2013,Bangalore,3,28,Male,No,1,1,Rajesh Banerjee
Masters,2016,New Delhi,3,27,Male,No,5,0,Ritika Singh
Masters,2017,Bangalore,3,26,Male,No,4,0,Radhika Chatterjee
Masters,2017,New Delhi,2,24,Male,No,2,0,Suresh Ghosh
Masters,2018,New Delhi,3,26,Male,No,4,1,Swati Bhattacharya
Masters,2017,New Delhi,1,25,Female,No,3,1,Riya Bhattacharya
Bachelors,2012,Pune,3,28,Male,No,2,0,Pooja Nair
Bachelors,2017,New Delhi,3,28,Male,No,2,0,Pallavi Chopra
Bachelors,2013,Bangalore,3,26,Male,No,4,0,Kriti Kumar
Masters,2013,New Delhi,3,27,Male,No,5,1,Tanvi Banerjee
Bachelors,2017,Pune,2,24,Female,No,2,1,Ishaan Ghosh
Bachelors,2017,New Delhi,3,28,Female,No,2,0,Ananya Banerjee
Bachelors,2016,Bangalore,3,26,Male,No,4,0,Riya Yadav
Bachelors,2013,Bangalore,3,27,Female,No,5,0,Ishaan Yadav
Masters,2015,Pune,2,28,Female,No,3,0,Nikhil Thakur
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Reyansh Sharma
Bachelors,2016,Pune,3,28,Male,No,1,0,Nidhi Agarwal
Masters,2013,Bangalore,1,25,Male,No,3,1,Manoj Pillai
Bachelors,2015,Pune,3,26,Male,No,4,0,Krishna Yadav
Bachelors,2018,New Delhi,3,27,Female,No,5,1,Swati Verma
Bachelors,2016,Bangalore,3,24,Male,No,2,1,Neha Jain
Bachelors,2012,Pune,2,24,Female,No,2,1,Radhika Reddy
Bachelors,2014,Bangalore,3,26,Male,No,4,0,Vivek Yadav
Bachelors,2016,Pune,2,24,Female,No,2,1,Siddharth Bhattacharya
Masters,2012,New Delhi,3,26,Female,No,4,0,Rohan Pillai
Bachelors,2013,Bangalore,3,28,Female,No,3,0,Nidhi Khan
Bachelors,2012,Bangalore,3,24,Male,No,2,1,Riya Chatterjee
Bachelors,2015,Bangalore,3,25,Male,No,3,1,Sai Sinha
Bachelors,2016,Bangalore,3,28,Male,No,3,0,Gaurav Agarwal
